ID	altura	diametro	inclinación	especie	origen	brotes
27	22	40	0	Álamo	Exótico	2
104	12	15	0	Álamo	Exótico	3
285	5	26	0	Palo borracho	Nativo/Autóctono	5
498	22	34	0	Eucalipto	Exótico	2
513	22	34	0	Eucalipto	Exótico	3
518	22	34	0	Eucalipto	Exótico	2
556	22	34	0	Eucalipto	Exótico	2
572	22	34	0	Eucalipto	Exótico	3
592	22	34	0	Eucalipto	Exótico	1
640	22	34	0	Eucalipto	Exótico	2
694	22	34	0	Eucalipto	Exótico	4
766	22	34	0	Eucalipto	Exótico	4
817	22	34	0	Eucalipto	Exótico	4
914	21	32	0	Eucalipto	Exótico	5
934	21	32	0	Eucalipto	Exótico	4
960	21	32	0	Eucalipto	Exótico	3
991	21	32	0	Eucalipto	Exótico	2
1000	21	32	0	Eucalipto	Exótico	4
1030	21	32	0	Eucalipto	Exótico	3
1116	21	32	0	Eucalipto	Exótico	2
1179	21	32	0	Eucalipto	Exótico	3
1295	1	20	0	Eucalipto	Exótico	1
1482	15	7	0	Álamo	Exótico	3
1616	13	30	0	Álamo	Exótico	1
1636	15	35	0	Álamo	Exótico	2
2115	26	60	6	Eucalipto	Exótico	3
2639	12	28	14	Eucalipto	Exótico	3
2985	17	30	0	Acacia	Exótico	5
3187	5	34	5	Eucalipto	Exótico	3
3192	12	22	6	Acacia	Exótico	5
3265	16	72	0	Fresno	Exótico	3
3643	22	70	0	Fresno	Exótico	3
3760	16	50	0	Casuarina	Exótico	4
4163	6	18	11	Jacarandá	Nativo/Autóctono	6
4762	25	93	5	Eucalipto	Exótico	3
4953	5	28	0	Acacia	Exótico	6
5295	1	8	0	Ficus	Exótico	4
5340	12	41	0	Casuarina	Exótico	3
5538	17	13	5	Acacia	Nativo/Autóctono	5
6218	13	57	0	Jacarandá	Nativo/Autóctono	4
6509	13	32	0	Jacarandá	Nativo/Autóctono	6
6523	16	46	8	Casuarina	Exótico	3
6967	14	61	15	Palo borracho	Nativo/Autóctono	6
7025	10	20	0	Fresno	Exótico	1
7065	4	11	4	Palo borracho	Nativo/Autóctono	4
7282	11	32	4	Fresno	Exótico	2
7588	10	45	0	Casuarina	Exótico	3
7626	9	25	0	Ficus	Exótico	3
8305	15	50	0	Palo borracho	Nativo/Autóctono	5
8403	24	60	0	Casuarina	Exótico	3
8458	15	39	0	Jacarandá	Nativo/Autóctono	4
8505	12	39	0	Jacarandá	Nativo/Autóctono	5
8557	24	17	0	Casuarina	Exótico	3
8668	10	50	5	Ceibo	Nativo/Autóctono	5
8848	8	19	7	Palo borracho	Nativo/Autóctono	4
9009	6	12	9	Fresno	Exótico	4
9515	3	14	0	Palo borracho	Nativo/Autóctono	5
9840	17	47	6	Palo borracho	Nativo/Autóctono	4
9982	9	20	0	Acacia	Nativo/Autóctono	6
10201	21	26	0	Álamo	Exótico	3
10290	5	12	9	Acacia	Exótico	2
10355	15	32	0	Álamo	Exótico	1
10359	15	35	0	Álamo	Exótico	5
10390	25	115	0	Eucalipto	Exótico	2
10599	16	58	6	Jacarandá	Nativo/Autóctono	5
10769	12	35	0	Casuarina	Exótico	4
10815	3	26	0	Ceibo	Nativo/Autóctono	3
11009	20	80	0	Casuarina	Exótico	3
11037	20	30	0	Álamo	Exótico	3
11038	7	25	0	Jacarandá	Nativo/Autóctono	5
11065	21	55	0	Fresno	Exótico	4
11162	7	14	3	Palo borracho	Nativo/Autóctono	5
11331	17	78	0	Casuarina	Exótico	3
11423	14	45	0	Casuarina	Exótico	2
11800	18	39	3	Palo borracho	Nativo/Autóctono	7
12402	15	23	0	Casuarina	Exótico	3
12442	11	17	0	Casuarina	Exótico	5
12557	12	30	0	Casuarina	Exótico	5
12611	16	10	5	Casuarina	Exótico	2
12629	10	16	8	Casuarina	Exótico	2
12940	15	25	0	Acacia	Exótico	3
13160	22	52	0	Eucalipto	Exótico	4
13404	7	22	0	Jacarandá	Nativo/Autóctono	5
13408	7	22	0	Jacarandá	Nativo/Autóctono	7
13726	22	50	0	Eucalipto	Exótico	3
13886	7	12	0	Álamo	Exótico	2
13887	15	6	0	Álamo	Exótico	3
13892	5	10	0	Álamo	Exótico	4
13910	17	12	0	Álamo	Exótico	2
13962	5	6	0	Álamo	Exótico	3
14247	26	66	0	Eucalipto	Exótico	2
14280	16	32	0	Eucalipto	Exótico	2
14413	19	52	8	Eucalipto	Exótico	3
14498	26	60	0	Eucalipto	Exótico	3
14500	26	60	0	Eucalipto	Exótico	3
14523	8	38	0	Eucalipto	Exótico	2
14593	7	25	0	Palo borracho	Nativo/Autóctono	4
14649	11	44	40	Eucalipto	Exótico	3
14683	15	12	0	Ficus	Exótico	3
14740	12	49	10	Jacarandá	Nativo/Autóctono	6
14826	14	40	0	Acacia	Nativo/Autóctono	6
15068	12	30	4	Fresno	Exótico	4
15196	19	65	0	Acacia	Nativo/Autóctono	4
15249	14	45	0	Palo borracho	Nativo/Autóctono	5
15390	5	14	0	Ficus	Exótico	2
15471	9	20	0	Álamo	Exótico	4
15548	4	8	0	Jacarandá	Nativo/Autóctono	4
15574	9	19	0	Fresno	Exótico	3
15584	16	54	0	Palo borracho	Nativo/Autóctono	4
15609	9	26	6	Casuarina	Exótico	2
15809	11	45	0	Ficus	Exótico	1
15949	18	56	0	Jacarandá	Nativo/Autóctono	6
16011	19	75	0	Casuarina	Exótico	3
16051	6	68	0	Ceibo	Nativo/Autóctono	7
16294	5	1	0	Casuarina	Exótico	1
16463	16	15	15	Acacia	Exótico	2
16613	12	50	0	Palo borracho	Nativo/Autóctono	5
16693	16	83	0	Casuarina	Exótico	2
16978	5	13	9	Fresno	Exótico	4
17019	14	45	0	Casuarina	Exótico	3
17188	15	76	0	Palo borracho	Nativo/Autóctono	4
17335	15	20	0	Fresno	Exótico	3
17596	12	38	0	Eucalipto	Exótico	3
17687	16	67	0	Casuarina	Exótico	1
17727	10	16	0	Ficus	Exótico	2
17922	6	20	16	Jacarandá	Nativo/Autóctono	5
17934	15	40	0	Jacarandá	Nativo/Autóctono	5
17956	19	45	4	Palo borracho	Nativo/Autóctono	7
18080	15	26	0	Álamo	Exótico	2
18130	6	18	8	Ceibo	Nativo/Autóctono	5
18161	13	72	0	Acacia	Exótico	3
18731	18	30	0	Álamo	Exótico	3
18799	6	16	0	Ficus	Exótico	3
18824	9	55	0	Palo borracho	Nativo/Autóctono	3
19399	17	86	0	Eucalipto	Exótico	4
19849	18	45	6	Jacarandá	Nativo/Autóctono	5
19899	16	38	0	Acacia	Nativo/Autóctono	6
20221	17	43	11	Ceibo	Nativo/Autóctono	6
20229	6	10	6	Jacarandá	Nativo/Autóctono	4
20259	10	23	0	Ficus	Exótico	3
20914	11	40	0	Palo borracho	Nativo/Autóctono	2
21143	19	64	0	Casuarina	Exótico	4
21211	17	40	0	Casuarina	Exótico	2
21495	12	24	0	Fresno	Exótico	2
21581	8	34	0	Fresno	Exótico	4
22095	3	3	0	Jacarandá	Nativo/Autóctono	5
22130	15	58	0	Casuarina	Exótico	5
22186	9	25	0	Álamo	Exótico	0
22595	14	42	0	Casuarina	Exótico	5
22645	6	21	6	Acacia	Exótico	3
22804	17	19	0	Álamo	Exótico	2
22926	11	42	0	Fresno	Exótico	4
23156	10	100	0	Eucalipto	Exótico	3
23182	10	30	0	Eucalipto	Exótico	4
23209	25	30	0	Álamo	Exótico	2
23238	25	30	0	Álamo	Exótico	2
23254	25	40	0	Álamo	Exótico	4
23365	3	10	0	Ceibo	Nativo/Autóctono	4
23765	14	52	0	Casuarina	Exótico	3
24068	4	3	0	Álamo	Exótico	2
24370	3	7	10	Jacarandá	Nativo/Autóctono	5
24675	15	28	0	Álamo	Exótico	2
24682	9	13	0	Casuarina	Exótico	3
24942	9	26	0	Casuarina	Exótico	5
24968	13	20	0	Casuarina	Exótico	2
